0.412140 transmission L2 64
0.412140 transmission L1 64
0.412140 transmission L4 64
0.412140 transmission L3 64
0.412171 transmission L0 64
0.412171 transmission L5 64
0.422140 buffer_diff L4 -64
0.422140 buffer_diff L4 64
0.422140 buffer_diff L3 -64
0.422140 buffer_diff L3 64
0.422140 buffer_diff L2 -64
0.422140 buffer_diff L2 64
0.422140 buffer_diff L1 -64
0.422140 buffer_diff L1 64
0.422191 transmission L4 64
0.422191 transmission L3 64
0.422191 transmission L2 64
0.422191 transmission L1 64
0.432191 buffer_diff L5 -64
0.432191 buffer_diff L5 64
0.432191 buffer_diff L3 -64
0.432191 buffer_diff L3 64
0.432191 buffer_diff L4 -64
0.432191 buffer_diff L4 64
0.432191 buffer_diff L0 -64
0.432191 buffer_diff L0 64
0.432191 buffer_diff L1 -64
0.432191 buffer_diff L1 64
0.432191 buffer_diff L2 -64
0.432191 buffer_diff L2 64
0.432191 buffer_diff L5 64
0.432191 buffer_diff L0 64
0.432232 transmission L5 64
0.432232 transmission L0 64
0.432232 buffer_diff L5 -64
0.432232 buffer_diff L0 -64
0.432243 transmission L3 64
0.432243 transmission L4 64
0.432243 transmission L1 64
0.432243 transmission L2 64
0.432273 transmission L5 64
0.432273 transmission L0 64
0.442243 buffer_diff L1 -64
0.442243 buffer_diff L1 64
0.442243 buffer_diff L2 -64
0.442243 buffer_diff L2 64
0.442243 buffer_diff L3 -64
0.442243 buffer_diff L3 64
0.442243 buffer_diff L4 -64
0.442243 buffer_diff L4 64
0.442294 transmission L1 64
0.442294 transmission L2 64
0.442294 transmission L3 64
0.442294 transmission L4 64
0.452294 buffer_diff L2 -64
0.452294 buffer_diff L2 64
0.452294 buffer_diff L0 -64
0.452294 buffer_diff L0 64
0.452294 buffer_diff L1 -64
0.452294 buffer_diff L1 64
0.452294 buffer_diff L4 -64
0.452294 buffer_diff L4 64
0.452294 buffer_diff L5 -64
0.452294 buffer_diff L5 64
0.452294 buffer_diff L3 -64
0.452294 buffer_diff L3 64
0.452294 buffer_diff L0 64
0.452294 buffer_diff L5 64
0.452335 transmission L0 64
0.452335 transmission L5 64
0.452335 buffer_diff L0 -64
0.452335 buffer_diff L5 -64
0.452345 transmission L2 64
0.452345 transmission L1 64
0.452345 transmission L4 64
0.452345 transmission L3 64
0.452376 transmission L0 64
0.452376 transmission L5 64
0.462345 buffer_diff L4 -64
0.462345 buffer_diff L4 64
0.462345 buffer_diff L3 -64
0.462345 buffer_diff L3 64
0.462345 buffer_diff L2 -64
0.462345 buffer_diff L2 64
0.462345 buffer_diff L1 -64
0.462345 buffer_diff L1 64
0.462396 transmission L4 64
0.462396 transmission L3 64
0.462396 transmission L2 64
0.462396 transmission L1 64
0.472396 buffer_diff L5 -64
0.472396 buffer_diff L5 64
0.472396 buffer_diff L3 -64
0.472396 buffer_diff L3 64
0.472396 buffer_diff L4 -64
0.472396 buffer_diff L4 64
0.472396 buffer_diff L0 -64
0.472396 buffer_diff L0 64
0.472396 buffer_diff L1 -64
0.472396 buffer_diff L1 64
0.472396 buffer_diff L2 -64
0.472396 buffer_diff L2 64
0.472396 buffer_diff L5 64
0.472396 buffer_diff L0 64
0.472437 transmission L5 64
0.472437 transmission L0 64
0.472437 buffer_diff L5 -64
0.472437 buffer_diff L0 -64
0.472447 transmission L3 64
0.472447 transmission L4 64
0.472447 transmission L1 64
0.472447 transmission L2 64
0.472478 transmission L5 64
0.472478 transmission L0 64
0.482447 buffer_diff L1 -64
0.482447 buffer_diff L1 64
0.482447 buffer_diff L2 -64
0.482447 buffer_diff L2 64
0.482447 buffer_diff L3 -64
